ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
"202412","허윤강리향주식회사","제주시","노형동","제주시내","아시아음식","중식당","0.88000","1.15000","0.06000","0.09000","0.24000","0.36000","-0.36000","5717.00000","다나05a99b"
"202412","제일수산횟집","서귀포시","천지동","서귀포시내","한식","회","0.40000","0.45000","0.45000","0.58000","0.47000","0.64000","-0.64000","7198.00000","다나12a73b"
"202412","정당","서귀포시","천지동","서귀포시내","한식","백반/가정식","0.04000","0.11000","0.00000","0.00000","0.01000","0.03000","-0.03000","1001.00000","다나12a73b"
"202412","아랑조은맛집","서귀포시","천지동","서귀포시내","한식","가정식","0.24000","0.73000","0.03000","0.09000","0.08000","0.26000","-0.26000","4874.00000","다나12b73b"
"202412","숯검댕이2호점","서귀포시","천지동","서귀포시내","한식","가정식","0.12000","0.17000","0.12000","0.16000","0.13000","0.19000","-0.19000","4079.00000","다나12b73a"
"202412","베큠(vacuum)","서귀포시","정방동","서귀포시내","음료","카페","0.12000","1.24000","0.04000","0.36000","0.06000","0.62000","-0.62000","7136.00000","다나12b73a"
"202412","옛골","서귀포시","정방동","서귀포시내","한식","가정식","0.03000","0.06000","0.00000","0.00000","0.01000","0.02000","-0.02000","701.00000","다나12b73a"
"202412","못난이찹쌀꽈배기 제주본점","서귀포시","정방동","서귀포시내","간식","베이커리","0.19000","1.75000","0.00000","0.12000","0.05000","0.53000","-0.53000","6734.00000","다나12b73a"
"202412","인로우","서귀포시","정방동","서귀포시내","한식","백반/가정식","0.01000","0.26000","0.00000","0.01000","0.00000","0.07000","-0.07000","2019.00000","다나12b73a"
"202412","바당각재기","제주시","화북동","제주시내","한식","백반/가정식","0.01000","0.06000","0.00000","0.00000","0.00000","0.01000","-0.01000","413.00000","다다12b02b"
"202412","배스킨라빈스","서귀포시","정방동","서귀포시내","간식","아이스크림/빙수","0.63000","6.21000","0.10000","1.39000","0.22000","2.75000","-2.75000","9287.00000","다나12b73a"
"202412","쌍둥이별관","서귀포시","정방동","서귀포시내","아시아음식","일식당","0.51000","0.40000","0.32000","0.46000","0.39000","0.51000","-0.51000","6665.00000","다나12b73a"
"202412","팬클럽","서귀포시","중앙동","서귀포시내","한식","백반/가정식","0.10000","0.17000","0.00000","0.00000","0.02000","0.04000","-0.04000","1353.00000","다나12b73b"
"202412","스시나미","제주시","아라동","제주시내","아시아음식","일식","2.01000","3.56000","0.03000","0.04000","0.47000","0.89000","-0.89000","7924.00000","다다11a00a"
"202412","올레주류마트","서귀포시","중앙동","서귀포시내","한식","가정식","0.00000","0.04000","0.01000","0.12000","0.01000","0.12000","-0.12000","3061.00000","다나12b73b"
"202412","예림양꼬치","서귀포시","정방동","서귀포시내","주점및주류판매","꼬치구이","0.72000","1.04000","0.06000","0.09000","0.21000","0.33000","-0.33000","5525.00000","다나12b73a"
"202412","유동커피","서귀포시","송산동","서귀포시내","음료","커피","0.99000","8.36000","0.72000","6.72000","0.84000","8.08000","-8.08000","9739.00000","다나12b72b"
"202412","화룡양꼬치","서귀포시","정방동","서귀포시내","주점및주류판매","꼬치구이","0.10000","0.17000","0.05000","0.04000","0.06000","0.08000","-0.08000","2291.00000","다나12b73a"
"202412","이모카세통로","서귀포시","정방동","서귀포시내","주점및주류판매","커피","0.04000","0.06000","0.01000","0.01000","0.01000","0.02000","-0.02000","702.00000","다나12b73a"
"202412","와플대학서귀포1청사캠퍼스","서귀포시","중앙동","서귀포시내","간식","베이커리","0.58000","7.06000","0.02000","0.27000","0.15000","1.94000","-1.94000","9030.00000","다나12b73b"
"202412","파시랑","서귀포시","정방동","서귀포시내","음료","카페","0.21000","1.19000","0.06000","0.33000","0.10000","0.58000","-0.58000","6960.00000","다나12b73a"
"202412","벌집식당","서귀포시","송산동","서귀포시내","한식","백반/가정식","0.80000","2.43000","0.12000","0.34000","0.28000","0.89000","-0.89000","7925.00000","다나12b72b"
"202412","괸당포차","서귀포시","송산동","서귀포시내","주점및주류판매","주점","0.20000","0.34000","0.06000","0.16000","0.10000","0.23000","-0.23000","4578.00000","다나12b72b"
"202412","퐁당칠리핫도그앤커피","제주시","화북동","제주시내","간식","커피","0.02000","0.26000","0.00000","0.00000","0.00000","0.06000","-0.06000","1802.00000","다다13a03a"
"202412","명가보쌈본점","서귀포시","정방동","서귀포시내","한식","보쌈","1.57000","5.42000","0.05000","0.19000","0.39000","1.48000","-1.48000","8726.00000","다나12b73a"
"202412","카페제주디어","서귀포시","정방동","서귀포시내","음료","커피","0.09000","0.35000","0.05000","0.35000","0.06000","0.40000","-0.40000","6020.00000","다나12b73a"
"202412","레오네핏제리아","서귀포시","중앙동","서귀포시내","패스트푸드","피자","0.18000","0.34000","0.05000","0.09000","0.08000","0.16000","-0.16000","3673.00000","다나12b73b"
"202412","푸른바당돼지","제주시","화북동","제주시내","한식","돼지고기","0.70000","0.90000","0.00000","0.02000","0.16000","0.23000","-0.23000","4579.00000","다다13a03b"
"202412","한남동그집","서귀포시","정방동","서귀포시내","주점및주류판매","요리주점","0.14000","0.34000","0.04000","0.07000","0.07000","0.15000","-0.15000","3486.00000","다나13a73a"
"202412","올레오사(54)","서귀포시","중앙동","서귀포시내","음료","주스","0.03000","0.62000","0.05000","0.76000","0.05000","0.84000","-0.84000","7795.00000","다나12b73b"
"202412","왕자반점","서귀포시","정방동","서귀포시내","아시아음식","중식","0.09000","0.41000","0.00000","0.01000","0.02000","0.11000","-0.11000","2834.00000","다나13a73a"
"202412","빽보이피자 제주서귀포점","서귀포시","동홍동","서귀포시내","패스트푸드","피자","0.03000","0.13000","0.01000","0.02000","0.01000","0.05000","-0.05000","1622.00000","다나13a74a"
"202412","호토커피(HOTO COFFEE)","서귀포시","동홍동","서귀포시내","음료","커피","0.03000","0.45000","0.00000","0.02000","0.01000","0.12000","-0.12000","3062.00000","다나13b74a"
"202412","포차오야우동","서귀포시","영천동","서귀포시내","한식","우동","0.03000","0.16000","0.00000","0.03000","0.01000","0.06000","-0.06000","1803.00000","다나15a75b"
"202412","방일해장국외도점","제주시","외도동","제주시내","한식","해장국","0.71000","3.73000","0.01000","0.07000","0.17000","0.96000","-0.96000","8060.00000","다나00b99b"
"202412","위드비키(WITHVICKY)","제주시","외도동","제주시내","음료","카페","0.03000","0.28000","0.01000","0.15000","0.02000","0.20000","-0.20000","4222.00000","다다01b00b"
"202412","미쇼니분식노형점","제주시","노형동","제주시내","간식","분식","0.28000","3.31000","0.02000","0.18000","0.08000","0.96000","-0.96000","8061.00000","다나04b99b"
"202412","모이세본점","제주시","노형동","제주시내","한식","해장국","0.90000","4.24000","0.24000","0.84000","0.40000","1.77000","-1.77000","8942.00000","다나05b99b"
"202412","볼빨간아구찜신제주점","제주시","연동","제주시내","한식","아구찜","0.79000","1.47000","0.06000","0.15000","0.22000","0.49000","-0.49000","6520.00000","다다05b00a"
"202412","메가엠지씨커피신제주점","제주시","연동","제주시내","음료","커피","0.41000","12.77000","0.10000","2.44000","0.17000","5.27000","-5.27000","9605.00000","다나06a99b"
"202412","서연가","서귀포시","중앙동","서귀포시내","한식","가정식","1.21000","0.62000","0.03000","0.02000","0.29000","0.16000","-0.16000","3674.00000","다나13a73b"
"202412","억수식당","제주시","화북동","제주시내","한식","백반/가정식","0.55000","0.28000","0.00000","0.00000","0.12000","0.07000","-0.07000","2020.00000","다다13a03b"
"202412","삼시세끼","제주시","화북동","제주시내","한식","백반/가정식","0.29000","1.86000","0.00000","0.00000","0.06000","0.45000","-0.45000","6298.00000","다다13a02b"
"202412","여기해장국","제주시","화북동","제주시내","한식","해장국","0.04000","0.17000","0.00000","0.00000","0.01000","0.04000","-0.04000","1354.00000","다다13a02b"
"202412","주식회사88버거","서귀포시","중앙동","서귀포시내","패스트푸드","햄버거","0.27000","0.96000","0.68000","2.65000","0.64000","2.63000","-2.63000","9258.00000","다나13a73a"
"202412","여러분식당","서귀포시","중앙동","서귀포시내","한식","분식","0.26000","0.34000","0.02000","0.04000","0.07000","0.12000","-0.12000","3063.00000","다나13a73a"
"202412","국수와의 미팅","서귀포시","중앙동","서귀포시내","한식","면류","0.42000","1.53000","0.03000","0.13000","0.11000","0.49000","-0.49000","6521.00000","다나13a73b"
"202412","인생역전","서귀포시","중앙동","서귀포시내","간식","분식","0.17000","1.64000","0.01000","0.12000","0.05000","0.50000","-0.50000","6589.00000","다나13a73b"
"202412","영빈횟집,해변의 집 영빈","서귀포시","송산동","서귀포시내","아시아음식","회","0.25000","0.23000","0.98000","0.66000","0.90000","0.65000","-0.65000","7243.00000","다나13a72b"
"202412","하람이네","서귀포시","중앙동","서귀포시내","한식","백반/가정식","0.01000","0.10000","0.00000","0.03000","0.00000","0.05000","-0.05000","1623.00000","다나13a73a"
"202412","콩이네점빵","서귀포시","동홍동","서귀포시내","한식","베이커리","0.03000","0.28000","0.00000","0.00000","0.01000","0.07000","-0.07000","2021.00000","다나13a74a"
"202412","보듯","서귀포시","동홍동","서귀포시내","음료","카페","0.21000","1.16000","0.03000","0.25000","0.07000","0.50000","-0.50000","6590.00000","다나13a73b"
"202412","실이네닭곰탕","서귀포시","동홍동","서귀포시내","한식","국밥","0.43000","2.03000","0.01000","0.09000","0.11000","0.57000","-0.57000","6904.00000","다나13a74a"
"202412","카페봄봄 서귀포점","서귀포시","동홍동","서귀포시내","음료","커피","0.20000","4.97000","0.01000","0.18000","0.05000","1.35000","-1.35000","8608.00000","다나13a73b"
"202412","아꼬아","서귀포시","정방동","서귀포시내","한식","백반/가정식","0.09000","0.62000","0.02000","0.22000","0.03000","0.35000","-0.35000","5673.00000","다나13a73a"
"202412","국수사랑","제주시","화북동","제주시내","한식","면류","1.45000","9.04000","0.02000","0.16000","0.33000","2.31000","-2.31000","9168.00000","다다13b03a"
"202412","에이바우트 커피 삼화점","제주시","화북동","제주시내","음료","커피","1.89000","35.03000","0.06000","0.88000","0.47000","9.19000","-9.19000","9761.00000","다다13b03a"
"202412","멕시카나치킨  화북점","제주시","화북동","제주시내","패스트푸드","치킨","0.44000","0.62000","0.00000","0.00000","0.10000","0.15000","-0.15000","3487.00000","다다13b03a"
"202412","흑미가","서귀포시","동홍동","서귀포시내","한식","가정식","0.72000","0.51000","0.02000","0.03000","0.18000","0.15000","-0.15000","3488.00000","다나13b74b"
"202412","듀포레","제주시","용담2동","제주시내","간식","베이커리","0.70000","4.58000","0.98000","5.15000","0.99000","5.75000","-5.75000","9638.00000","다다07a03a"
"202412","조아라 아구찜 본점","제주시","용담2동","제주시내","아시아음식","아구찜","2.65000","4.24000","0.09000","0.15000","0.66000","1.15000","-1.15000","8377.00000","다다07b02a"
"202412","용담닭한마리","제주시","용담2동","제주시내","한식","치킨","0.87000","2.09000","0.03000","0.09000","0.22000","0.58000","-0.58000","6961.00000","다다07b02b"
"202412","솔정가든","제주시","오라동","제주시내","한식","고기","1.82000","1.58000","0.03000","0.06000","0.43000","0.43000","-0.43000","6232.00000","다다08a00b"
"202412","우미가","제주시","삼도1동","제주시내","한식","가정식","0.52000","0.56000","0.01000","0.02000","0.12000","0.15000","-0.15000","3489.00000","다다08b01a"
"202412","에이바우트커피 종합경기장점","제주시","오라동","제주시내","음료","커피","2.66000","35.14000","0.09000","1.50000","0.66000","9.77000","-9.77000","9767.00000","다다08b00b"
"202412","오스집","제주시","이도2동","제주시내","주점및주류판매","꼬치구이","0.61000","1.54000","0.02000","0.04000","0.15000","0.41000","-0.41000","6080.00000","다다09b00b"
"202412","도미노피자 제주화북점","제주시","화북동","제주시내","패스트푸드","피자","1.07000","3.45000","0.04000","0.16000","0.27000","0.97000","-0.97000","8077.00000","다다14a02b"
"202412","커피516","서귀포시","동홍동","서귀포시내","음료","커피","0.03000","0.17000","0.00000","0.00000","0.01000","0.04000","-0.04000","1355.00000","다나14a74a"
"202412","동화흑돼지","제주시","화북동","제주시내","한식","돼지고기","0.10000","0.17000","0.03000","0.03000","0.04000","0.07000","-0.07000","2022.00000","다다14a03a"
