번호,야영장명,사업주체_구분,도,시군구,주소,연락처 앞자리,연락처 중간자리,연락처 끝자리,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입
815,아빠가 만든 캠핑장,민간,강원도,영월군,강원 영월군 북면 덕전길 240,,,,0,30,0,0,0,0,9,0,0,10,0,0,30,0,0,2015-06-29,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,청소년체험시설",7,0,0,0,여름물놀이,"텐트,릴선,화로대,난방기구",불가능
816,아빠랑 놀자,민간,경상남도,합천군,경상남도 합천군 삼가면 동리외초길 223 ,,,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-29,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,산책로,운동시설,마트_편의점","운동장,강/물놀이,농어촌체험시설",20,0,0,20,,,불가능
817,아빠의 캠프,민간,경상북도,청도군,경북 청도군 매전면 당호강변길 49-7,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-30,,,,0,0,0,0,,,불가능
818,아빠의 캠핑장,민간,강원도,원주시,강원도 원주시 신림면 신림황둔로 854 ,,,,15,0,5,0,0,0,5,0,0,9,0,0,15,0,0,2016-06-01,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설",계곡 물놀이,17,0,0,0,여름물놀이,"릴선,화로대",불가능
819,아빠의나무 야영장,민간,충청북도,괴산군,충북 괴산군 청천면 괴산로부성1길 15-22,,,,0,10,0,0,0,0,6,0,0,8,0,0,10,0,0,2017-05-29,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설",5,0,0,0,여름물놀이,,불가능
820,아빠캠핑가 오토캠핑장,민간,충청북도,진천군,충청북도 진천군 백곡면 안구수길 34-28 ,43,532,9960,32,0,0,0,0,0,7,4,5,7,4,9,30,1,1,2015-06-11,개별,"전기,무선인터넷,장작판매,온수,운동시설","계곡 물놀이,산책로,수상레저,낚시,어린이놀이시설",16,0,0,0,"낚시,여름물놀이",텐트,가능
821,아산곡교천야영장,민간,충청남도,아산시,충남 아산시 곡교천로 407 (권곡동),41,533,4578,67,0,0,0,0,0,7,0,0,5,0,0,67,0,0,2016-06-24,개별,"전기,온수,운동시설",산책로,100,1,1,0,"항공레저,걷기길",,가능
822,아산글램핑캠핑장,민간,충청남도,아산시,충남 아산시 선장면 학성로 214,2,776,1002,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,2015-07-02,개별,"전기,장작판매,온수,물놀이장,산책로,마트_편의점","산책로,낚시",23,0,0,20,,,불가능
823,아우라지 글램핑,민간,강원도,정선군,강원도 정선군 여량면 노추산로 520 ,33,563,2283,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2016-08-01,개별,"전기,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,산책로",0,0,0,0,"액티비티,봄꽃여행,여름물놀이,가을단풍명소",,불가능
824,아우라지관광지,지자체,강원도,정선군,강원 정선군 여량면 아우라지길 69,33,562,9595,50,0,0,0,0,0,0,0,0,0,0,0,25,25,0,2015-05-21,개별,"놀이터,산책로,운동시설","산책로,운동장,낚시,청소년체험시설,어린이놀이시설",0,0,0,0,"액티비티,봄꽃여행",,불가능
825,아이비오토캠핑장,민간,경상남도,밀양시,경상남도 밀양시 산내면 원서3길 47 ,,,,0,23,0,0,0,0,8,7,9,6,6,6,14,5,4,2016-06-15,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,청소년체험시설",15,0,0,0,"여름물놀이,가을단풍명소,걷기길",,가능
826,아이에프에이 캠프운악,민간,경기도,포천시,경기도 포천시 화현면 화현리 1090-2 ,,,,78,0,3,0,0,0,5,4,6,7,6,7,37,36,5,2016-01-11,개별,"전기,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,산책로,운동장,강/물놀이,수영장,농어촌체험시설",42,0,0,10,"액티비티,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",,불가능
827,아잘리아 그린,민간,충청남도,당진시,충청남도 당진시 대호나루터길 105-75 ,,,,57,0,0,0,0,0,10,16,0,7,12,0,55,2,0,2015-08-05,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동시설,마트_편의점","산책로,운동장,낚시,해수욕",40,4,0,5,"일몰명소,낚시,여름물놀이,가을단풍명소,겨울눈꽃명소",릴선,불가능
828,아침가리 계곡 캠핑장,민간,강원도,인제군,강원도 인제군 기린면 조침령로 1156,33,463,7342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-06-02,,놀이터,,0,0,0,0,,,불가능
829,아트인아일랜드,민간,강원도,평창군,강원도 평창군 봉평북로 193-28 ,33,336,1771,30,0,0,0,0,0,6,0,0,10,0,0,30,0,0,2016-09-08,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터",계곡 물놀이,20,0,0,0,"스키,여름물놀이,가을단풍명소",,불가능
830,아트캠핑빌리지,민간,충청남도,논산시,충청남도 논산시 상월면 한천길 15-11 ,41,734,6980,19,0,0,0,0,0,5,0,0,7,0,0,19,0,0,2015-08-07,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동시설","계곡 물놀이,어린이놀이시설",11,1,0,5,,,불가능
831,나무다 캠핑장,민간,경기도,포천시,경기도 포천시 신북면 깊이울로 167 ,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-13,개별,"전기,장작판매,온수",,5,0,0,0,,,가능
832,완주힐조타운 캠핑장,민간,전라북도,완주군,전북 완주군 비봉면 천호로 235-38,63,1899,5852,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-07,개별,놀이터,산책로,10,0,0,10,"봄꽃여행,가을단풍명소,겨울눈꽃명소,걷기길",,불가능
833,타이거스피드 안녕오토캠핑장,민간,경상남도,창원시,경상남도 창원시 마산합포구 구산면 안녕로 329,55,242,7942,20,0,0,0,0,0,0,0,0,0,0,0,20,3,0,2017-01-10,개별,"전기,무선인터넷,장작판매,온수,놀이터,마트_편의점","수상레저,낚시,강/물놀이",30,0,0,0,"일출명소,수상레저,낚시,봄꽃여행,여름물놀이,가을단풍명소",,가능
834,안단테 홍천캠핑장,민간,강원도,홍천군,강원 홍천군 내촌면 가래올길 53-16,33,433,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-01,,"온수,물놀이장,놀이터",,0,0,0,0,,,불가능
835,안산화랑오토캠핑장,지자체,경기도,안산시,경기도 안산시 단원구 초지동 동산로 268 ,31,481,9801,0,69,6,10,0,0,0,0,0,0,0,0,0,0,0,2013-05-14,개별,"전기,온수,놀이터,산책로","산책로,농어촌체험시설",0,0,0,0,,,불가능
836,안성내츄럴리조트 오토캠핑장,민간,경기도,안성시,경기도 안성시 죽산면 죽양대로 136-16 ,31,674,8255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-12-10,개별,전기,,0,0,0,0,,,불가능
837,안성맞춤 캠핑장,지자체,경기도,안성시,경기 안성시 보개면 남사당로 198-5,31,677,8267,34,24,10,7,0,0,0,0,0,0,0,0,0,0,0,2015-10-06,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동시설,마트_편의점","산책로,운동장,수상레저,낚시,강/물놀이,청소년체험시설,농어촌체험시설",117,4,7,25,,"릴선,화로대,일산화탄소감지기",불가능
838,안성비봉산 캠핑장,민간,경기도,안성시,경기도 안성시 삼죽면 내장리 165-1 외 7필지,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-07,,,,0,0,0,0,,,불가능
839,안태울캠핑장,민간,경기도,양주시,경기도 양주시 광적면 화합로81번길 375-66 ,31,871,1388,0,45,0,0,0,0,5,0,0,7,0,0,45,0,0,2015-08-21,개별,"전기,장작판매,온수,물놀이장,놀이터,산책로,운동시설",강/물놀이,30,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소",화로대,불가능
840,알멕스랜드캠핑장,민간,경기도,연천군,경기도 연천군 왕징면 왕산로 218번길 25-100,,,,0,120,0,20,0,0,7,0,0,7,0,0,120,0,0,2017-07-13,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","강/물놀이,어린이놀이시설",60,0,0,0,,,불가능
841,알프스 글램핑,민간,충청남도,청양군,충청남도 청양군 남양면 만수로 1202-20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-10,,,,0,0,0,0,,,불가능
842,가래골농원 캠핑장2,민간,경기도,포천시,경기도 포천시 창수면 추동리 821-10 외 1필지,,,,0,0,0,0,0,0,4,5,0,7,8,0,0,0,0,2017-07-17,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트_편의점","산책로,강/물놀이,농어촌체험시설",90,0,0,0,"여름물놀이,걷기길",릴선,가능
843,알프스캠핑장,민간,경상남도,밀양시,경상남도 밀양시 산외면 밀양대로 3468-7 ,,,,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-06-03,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,놀이터,산책로,운동시설","산책로,어린이놀이시설",0,0,0,0,"여름물놀이,가을단풍명소",,불가능
844,애플 글램핑,민간,전라남도,장성군,전라남도 장성군 담장로 1279-0 ,,,,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2016-12-28,개별,"장작판매,트렘폴린,물놀이장,산책로,운동시설",강/물놀이,6,0,0,6,걷기길,,불가능
845,애플마루 펜션캠핑장,민간,충청북도,단양군,충청북도 단양군 영춘면 남천4길 104-33 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-21,,"전기,장작판매",,0,0,0,0,,,불가능
846,약수골 캠프촌 숲속캠핑장,지자체,강원도,양구군,강원도 양구군 동면 후곡리 299 ,33,481,9828,26,0,0,0,0,0,4,4,5,4,6,8,6,18,2,2016-06-30,개별,"전기,무선인터넷,장작판매,놀이터",계곡 물놀이,13,0,0,0,"여름물놀이,가을단풍명소",,불가능
847,약수골 캠프촌 오토캠핑장,지자체,강원도,양구군,강원 양구군 동면 약수터길 28,33,481,9828,0,13,0,4,0,0,10,0,0,1,0,0,13,0,0,2016-03-21,개별,"전기,무선인터넷,장작판매,온수,운동시설,마트_편의점",계곡 물놀이,10,0,0,4,,,불가능
848,약수농원,민간,경상남도,창녕군,경남 창녕군 고암면 감리 317,,,,10,0,0,0,0,0,5,0,0,7,0,0,10,0,0,2017-07-21,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설,마트_편의점","계곡 물놀이,산책로",8,0,0,0,"봄꽃여행,가을단풍명소,걷기길",화로대,가능(소형견)
849,얏호캠핑장,민간,인천광역시,강화군,인천 광역시 강화군 길상면 동검길 159-27,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-10-31,개별,"전기,장작판매,온수",,12,0,0,0,일몰명소,,불가능
850,한별마을 야영장,민간,강원도,양양군,강원특별자치도 양양군 서면 영덕리 455,33,673,3808,75,0,0,0,0,0,2,4,3,3,8,6,32,33,10,2024-02-16,개별,"전기,무선인터넷,장작판매,온수,운동시설",계곡 물놀이,20,0,0,0,"여름물놀이,가을단풍명소",,불가능
851,GoOut 양주감악산 캠핑장,민간,경기도,양주시,경기도 양주시 남면 감악산로 632-32 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-12-17,개별,"전기,무선인터넷,장작판매,온수,산책로",,0,0,0,0,,,가능
852,양주시 미술관옆 캠핑장,지자체,경기도,양주시,경기 양주시 장흥면 권율로 185,31,828,9881,33,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2015-06-10,개별,"전기,온수",,0,0,0,0,,,불가능
853,양주산막골캠핑장,민간,경기도,양주시,경기도 양주시 백석읍 기산로 414-20 ,31,871,58,0,50,0,0,0,0,6,0,0,8,0,0,50,0,0,2015-06-12,개별,"전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,수상레저,낚시,어린이놀이시설",20,0,0,0,"수상레저,봄꽃여행,여름물놀이,가을단풍명소,걷기길","릴선,화로대",불가능
854,양주송천캠핑장,지자체,경기도,양주시,경기 양주시 백석읍 기산로440번길 74-19,,,,0,46,0,0,0,0,4,7,4,7,10,6,14,31,1,2016-11-09,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설,마트_편의점","계곡 물놀이,산책로,운동장,어린이놀이시설",30,0,0,0,"여름물놀이,가을단풍명소,걷기길","릴선,화로대",불가능
855,양지생태마을캠핑장,민간,경상남도,거창군,경남 거창군 마리면 진산길 157,55,943,9343,50,0,0,0,20,0,8,0,0,8,0,0,50,0,0,2017-07-28,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","산책로,강/물놀이,청소년체험시설",25,0,1,2,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소","텐트,화로대",불가능
856,보고,민간,경기도,용인시,경기 용인시 처인구 양지면 남평로 112,31,932,8188,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2016-03-08,개별,"전기,무선인터넷,온수,물놀이장",강/물놀이,9,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소",,불가능
857,양평 휴 캠핑 워크샵,민간,경기도,양평군,경기 양평군 청운면 경강로 4882,31,773,3556,13,0,0,3,0,0,0,0,0,0,0,0,13,0,0,2016-05-10,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동시설",계곡 물놀이,7,0,0,10,,"텐트,릴선,화로대",불가능
858,양평수목원 캠핑장,지자체,경기도,양평군,경기도 양평군 지평면 옥현리 1504-5,1666,5492,,0,119,0,5,0,0,4,8,9,4,10,12,12,31,76,2016-05-17,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","산책로,운동장,농어촌체험시설",60,0,0,5,"봄꽃여행,여름물놀이",,불가능
859,양평드림캠핑장,민간,경기도,양평군,경기 양평군 용문면 갈지길41번길 41-52,31,771,1886,0,87,0,0,0,0,7,5,0,8,6,0,70,17,0,2016-09-09,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설,마트_편의점","계곡 물놀이,산책로,수상레저,낚시,농어촌체험시설,어린이놀이시설",87,0,0,0,"일몰명소,수상레저","텐트,릴선,화로대,식기",불가능
860,양평 베이스캠프,민간,경기도,양평군,경기도 양평군 경강로 2277-21 ,2,2207,909,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-29,,"물놀이장,운동시설","수상레저,어린이놀이시설",19,0,0,19,,화로대,불가능
861,어라운드빌리지,민간,충청북도,보은군,충청북도 보은군 탄부면 사직1길 34,70,8650,6375,45,0,0,0,0,0,0,0,0,0,0,0,45,0,0,2015-07-31,개별,"전기,온수,물놀이장,산책로",산책로,23,0,0,0,여름물놀이,,불가능
862,어름치마을캠핑장,민간,강원도,평창군,강원도 평창군 미탄면 마하길 42-5,33,332,1260,10,0,0,6,0,0,5,0,0,5,0,0,10,0,0,2017-03-10,개별,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설",계곡 물놀이,12,0,0,6,"액티비티,여름물놀이",,불가능
863,밸리캠핑장,민간,강원도,양양군,강원도 양양군 법수치길 259-0 ,,,,11,0,0,0,0,0,4,0,0,5,0,0,11,0,0,2016-08-18,개별,"전기,장작판매,온수,물놀이장,운동시설",계곡 물놀이,13,0,0,0,낚시,,가능(소형견)
864,양양캠핑장,민간,강원도,양양군,강원도 양양군 현북면 어성전길 182-18,,,,11,20,0,0,0,0,5,0,0,6,0,0,20,0,0,2019-02-20,개별,"전기,장작판매,운동장","계곡 물놀이,해수욕,어린이놀이시설",10,0,0,0,가을단풍명소,화로대,가능
865,어울림펜션 캠핑장,민간,강원도,영월군,강원 영월군 한반도면 문둔길 106,,,,5,0,0,0,0,0,4,0,0,5,0,0,5,0,0,2015-06-29,개별,"전기,무선인터넷,장작판매,온수",계곡 물놀이,5,0,0,0,,,불가능
866,어은돌야영장,민간,충청남도,태안군,충남 태안군 소원면 연들길 67-3,41,675,9340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-03-18,,"전기,온수",,0,0,0,0,,,불가능
867,얼음골 야영장,민간,경상남도,고성군,경상남도 고성군 상리면 삼상로 1411,55,673,878,0,50,0,0,0,0,8,0,0,6,0,0,50,0,0,2017-03-02,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설","계곡 물놀이,산책로,운동장,낚시,농어촌체험시설",50,7,0,10,"여름물놀이,가을단풍명소,걷기길",,가능(소형견)
868,얼음골까투리캠핑장,민간,경상남도,밀양시,경상남도 밀양시 산내면 얼음골로 134-22 ,55,356,8887,0,40,0,0,0,0,0,0,0,0,0,0,4,1,16,2016-06-01,개별,"전기,장작판매,온수,운동시설","계곡 물놀이,산책로",30,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",,가능
869,얼음골야영장,민간,강원도,양양군,강원 양양군 서면 얼음골길 45,,,,300,0,0,0,0,0,3,0,0,4,0,0,0,0,0,2016-09-27,개별,"온수,운동시설",계곡 물놀이,0,0,0,0,"여름물놀이,가을단풍명소",,불가능
870,엉클캠프,민간,충청북도,제천시,충북 제천시 봉양읍 제원로8길 16,507,1450,9811,24,20,0,0,0,0,6,0,0,8,0,0,44,0,0,2016-04-29,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트_편의점","계곡 물놀이,산책로,낚시,어린이놀이시설",20,0,0,0,여름물놀이,,불가능
871,에덴오토캠핑장,민간,경상북도,포항시,경북 포항시 북구 죽장면 가사길 15,,,,0,8,0,0,0,0,0,0,0,0,0,0,4,1,0,2019-06-28,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,낚시,해수욕",8,0,0,0,"여름물놀이,걷기길","릴선,화로대,식기",가능(소형견)
872,에버힐,민간,강원도,평창군,강원도 평창군 봉평면 흥정리 산 80-3 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-31,,"전기,온수,운동시설",,0,0,0,0,,,불가능
873,에브라임캠핑장,민간,경기도,연천군,경기도 연천군 신서면 연신로 866,31,834,8408,38,0,0,0,0,0,6,0,0,8,0,0,38,0,0,2016-03-25,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,놀이터,운동장,운동시설",계곡 물놀이,25,0,0,0,"여름물놀이,가을단풍명소",,불가능
874,에이원 글램핑 관광농원,민간,경상남도,통영시,경남 통영시 산양읍 산양중앙로 270-91,55,649,7783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-07-15,,,,0,0,0,0,,,불가능
875,에이원 글램핑장 리조트,민간,경상남도,통영시,경남 통영시 산양읍 산양중앙로 168,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-03,,"전기,온수,물놀이장",,0,0,0,0,,,불가능
876,에코그린캠핑장,민간,제주특별자치도,제주시,제주특별자치도 제주시 애월읍 중산간서로 5587,70,8900,8649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-15,개별,,,0,0,0,0,,,불가능
877,에코야영장,민간,인천광역시,강화군,인천광역시 강화군 길상면 선두리 892-3,,,,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,2016-02-04,개별,"전기,무선인터넷,온수,물놀이장","산책로,해수욕",3,0,0,3,,,불가능
878,에코오토캠핑장,민간,전라북도,완주군,전라북도 완주군 동상면 대아수목로 144-1 ,,,,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-12,개별,"전기,장작판매,온수,놀이터,운동시설",산책로,0,0,0,0,,,불가능
879,에코유 캠핑장,민간,경기도,동두천시,경기 동두천시 천보산로359번길 55 (탑동동),70,8839,3700,10,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-03-11,개별,"온수,물놀이장,운동시설",강/물놀이,0,0,0,0,,,불가능
880,에코힐글램핑,민간,제주특별자치도,제주시,제주특별자치도 제주시 애월읍 광령평화8길 22,64,743,60,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-24,불가,전기,수영장,19,0,0,0,,,불가능
881,삼척엘림캠핑장,민간,강원도,삼척시,강원도 삼척시 내평길 233-13 ,,,,30,0,0,0,0,0,6,0,0,7,0,0,30,0,0,2016-08-19,공동취사장,"전기,온수,운동시설",계곡 물놀이,20,0,0,0,,,불가능
882,엘포리글램핑,민간,경상북도,포항시,경상북도 포항시 북구 기계면 학야길215번길 59,54,246,7778,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2016-06-09,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점",해수욕,5,0,0,5,"여름물놀이,가을단풍명소",,불가능
883,여수 밤바다 관광농원야영장,지자체,전라남도,여수시, 전남 여수시 돌산읍 진모1길 29-38,61,644,1333,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,2016-07-13,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동장,마트_편의점","산책로,운동장,수영장",25,0,0,25,"수상레저,낚시,여름물놀이,걷기길",,불가능
884,여수굴전여가캠핑장,지자체,전라남도,여수시,전라남도 여수시 돌산읍 돌산로 3017-15 ,1588,3896,,28,0,0,10,0,0,0,0,0,0,0,0,6,6,16,2015-05-26,개별,"전기,놀이터,산책로,운동장","산책로,운동장",0,0,0,0,"봄꽃여행,걷기길",,불가능
885,여우가달을사랑할때,민간,경기도,가평군,경기도 가평군 가평읍 태봉두밀로 596번길 78-16,31,582,4240,0,0,10,0,0,0,4,0,0,7,0,0,10,0,0,2017-03-13,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설,마트_편의점","계곡 물놀이,산책로,강/물놀이,농어촌체험시설",12,2,0,10,"일출명소,여름물놀이,가을단풍명소,겨울눈꽃명소",,불가능
886,여울애꽃물들인,지자체,강원도,철원군,강원 철원군 근남면 하오재로 1455,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-18,,"전기,온수",,0,0,0,0,,,불가능
887,여주 카라반 체험장,민간,경기도,여주시,경기 여주시 점동면 선사길 321,2,2002,9895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-21,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",,0,0,0,0,,,불가능
888,여주산촌관광농원,지자체,경기도,여주시,경기 여주시 금사면 금품1로 552,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-05-03,,"전기,온수,운동시설",,0,0,0,0,,,불가능
889,여주참숯마을 캠핑장,민간,경기도,여주시,경기 여주시 강천면 걸촌동길 40,31,886,1119,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-10-10,개별,"전기,장작판매,온수,물놀이장,산책로,마트_편의점","산책로,청소년체험시설",50,0,0,15,"일출명소,일몰명소,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",화로대,가능(소형견)
890,여차울 캠핑장,민간,강원도,홍천군,강원 홍천군 내면 여차동길 745-41,,,,30,0,5,0,0,0,8,0,0,8,0,0,30,0,0,2015-05-22,개별,"전기,무선인터넷,장작판매,온수,운동시설","계곡 물놀이,청소년체험시설",8,0,0,0,,,불가능
891,연곡해변 솔향기캠핑장,지자체,강원도,강릉시,강원 강릉시 연곡면 해안로 1282-10,33,662,2900,122,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-07-12,개별,"전기,온수,놀이터,운동장,운동시설,마트_편의점","산책로,낚시,해수욕",70,0,0,0,"일출명소,낚시,여름물놀이,걷기길",,불가능
892,연산 황산벌오토캠핑장,민간,충청남도,논산시,충남 논산시 연산면 신신양로 187-8,41,735,1824,30,0,0,0,0,0,7,4,0,8,7,0,13,17,0,2016-06-01,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",산책로,40,0,0,0,여름물놀이,"텐트,릴선,화로대",가능
893,연천 한여울팜파크 글램핑장,지자체,경기도,연천군,경기도 연천군 연천읍 현문로 537,31,834,7271,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2017-07-28,개별,"전기,무선인터넷",,5,0,0,5,,,불가능
894,연천재인폭포오토캠핑장,민간,경기도,연천군,경기도 연천군 연천읍 고문리 117-1번지,31,834,7271,0,100,0,20,0,0,0,0,0,0,0,0,0,0,0,2017-03-07,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,수영장",0,0,0,0,,,불가능
895,연풍연가캠핑장,민간,충청남도,아산시,충남 아산시 송악면 종곡길96번길 90,,,,22,0,0,0,0,0,6,6,5,9,9,9,6,6,8,2015-05-18,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",,22,1,1,0,여름물놀이,"릴선,화로대",불가능
896,열린캠핑장,민간,충청북도,충주시,충청북도 충주시 앙성면 지당리 241 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-17,,,,0,0,0,0,,,불가능
897,염포야영장,국립공원,전라남도,고흥군,전라남도 고흥군 봉래면 우주로 3844 ,61,835,7828,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-26,개별,전기,"산책로,낚시,해수욕",0,0,0,0,"일출명소,일몰명소,봄꽃여행,여름물놀이,가을단풍명소",,불가능
898,김포캠핑파크 주식회사,,경기도,김포시,경기 김포시 월곶면 용강로 325,,,,0,70,38,3,0,0,3,4,6,4,6,6,40,15,15,2016-11-24,개별,"전기,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,마트_편의점",낚시,3,0,0,3,,,불가능
899,영덕 고래불 국민 야영장,지자체,경상북도,영덕군,경상북도 영덕군 병곡면 고래불로 12,54,734,6220,110,13,0,25,0,0,5,0,0,3,0,0,123,0,0,2017-03-30,개별,"전기,무선인터넷,온수,물놀이장,놀이터,운동시설,마트_편의점","수상레저,낚시,해수욕",96,5,0,29,"일출명소,수상레저,낚시,여름물놀이,걷기길",,불가능
900,영덕 칠보산 오토캠핑장,민간,경상북도,영덕군,경북 영덕군 병곡면 칠보산1길 522,,,,19,0,0,0,0,0,8,4,0,8,7,0,17,2,0,2015-09-10,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",산책로,0,0,0,0,,"릴선,화로대,난방기구",가능
901,영산강 승촌보캠핑장,지자체,광주광역시,남구,광주광역시  남구 승촌동 577 ,61,333,9638,0,53,0,0,0,0,5,0,0,5,0,0,53,0,0,2015-07-31,개별,"전기,온수,놀이터,산책로",,28,0,0,0,,,불가능
902,영양수비별빛캠핑장,민간,경상북도,영양군,경상북도 영양군 본신로 213-0 ,,,,26,0,0,0,0,0,7,4,10,4,3,8,6,3,17,2016-09-04,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",계곡 물놀이,16,0,2,2,"여름물놀이,가을단풍명소,걷기길",,가능(소형견)
