번호,야영장명,사업주체_구분,도,시군구,주소,연락처 앞자리,연락처 중간자리,연락처 끝자리,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입
1591,성주산 자연휴양림,국립공원,충청남도,보령시,충청남도 보령시 성주면 화장골길 57-230 ,41,934,7133,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-03,개별,"온수,물놀이장,산책로,마트_편의점","계곡 물놀이,산책로",0,0,0,0,가을단풍명소,,불가능
1592,무창포솔원캠핑장,민간,충청남도,보령시,충청남도 보령시 웅천읍  삼정골길 102 ,,,,0,35,0,0,0,0,11,10,5,10,8,8,13,15,3,2015-06-09,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,산책로","산책로,수상레저,낚시,해수욕,농어촌체험시설",12,0,0,0,"일몰명소,수상레저,낚시,여름물놀이",,불가능
1593,수락 캠핑장,민간,경기도,의정부시,경기도 의정부시 산곡동 603번지,70,4189,2787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-08-24,,,,0,0,0,0,,,불가능
1594,숲속의하모니,민간,충청북도,괴산군,충북 괴산군 청천면 후평도원로 153-6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-11-01,,,,0,0,0,0,,,불가능
1595,스톤밸리캠핑장,민간,경기도,양주시,경기 양주시 칠봉산로228번길 126-5 (봉양동),70,4415,2203,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-11-05,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동장,마트_편의점","산책로,운동장,강/물놀이",16,2,2,2,,"릴선,화로대",가능(소형견)
1596,아프리카예술박물관 캠핑장,민간,경기도,포천시,경기도 포천시 소흘읍 무림리 41,31,543,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-09-14,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트_편의점",,0,0,0,0,,,불가능
1597,얼음골애플 오토캠핑장,민간,경상남도,밀양시,경남 밀양시 산내면 얼음골옛길 92-37,,,,0,20,0,2,0,0,6,0,0,8,0,0,20,0,0,2016-10-14,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트_편의점","계곡 물놀이,산책로",15,0,0,0,,,불가능
1598,엄둔솔밭빌리지,민간,강원도,영월군,강원도 영월군 수주면 도원운학로 376 ,33,373,5060,12,0,0,0,0,0,5,0,0,0,0,0,12,0,0,2015-10-13,개별,"전기,무선인터넷,장작판매,온수,운동시설",계곡 물놀이,9,0,0,0,,,불가능
1599,엘림펜션 오토캠핑장,민간,충청북도,제천시,충청북도 제천시 덕산면 월악산로2길 70-17 ,,,,10,0,0,0,0,0,5,0,0,6,0,0,10,0,0,2018-07-31,개별,"전기,장작판매,온수,물놀이장,산책로,운동시설","계곡 물놀이,산책로,낚시,해수욕",5,0,0,0,,,가능
1600,더엠캠프,민간,경기도,가평군,경기도 가평군 설악면 천안리 714-1번지 외 8필지,,,,16,0,3,0,0,0,11,0,0,4,0,0,16,0,0,2018-04-26,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,마트_편의점","계곡 물놀이,낚시",50,17,17,3,"일출명소,일몰명소,낚시,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소","릴선,화로대,난방기구,식기,침낭",불가능
1601,영주호오토캠핑장,민간,경상북도,영주시,경상북도 영주시 평은면 문평로 758-24,54,632,7400,0,130,0,18,0,0,0,0,0,0,0,0,0,0,0,2018-05-04,개별,"전기,무선인터넷,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점",산책로,88,0,0,18,"봄꽃여행,여름물놀이,가을단풍명소",,불가능
1602,오름새,민간,경기도,여주시,경기도 여주시 산북면 송현길 111-31,31,885,2820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-19,개별,전기,,0,0,0,0,,,불가능
1603,와룡자연휴양림 야영장,지자체,전라북도,장수군,전라북도 장수군 천천면 비룡로 538-73 ,63,353,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-07,개별,"물놀이장,산책로,운동장,마트_편의점",,0,0,0,0,,,불가능
1604,와룡자연휴양림 자동차야영장,지자체,전라북도,장수군,전라북도 장수군 천천면 비룡리 632 ,63,353,1404,100,18,0,0,5,0,7,3,0,5,3,0,18,100,0,2015-07-10,개별,"전기,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,산책로,운동장,수영장",68,0,5,0,"여름물놀이,가을단풍명소,걷기길",,불가능
1605,왕피천모래언덕 펜션/캠핑장,민간,경상북도,울진군,경북 울진군 근남면 왕피천로 534-1,54,783,625,0,20,0,0,0,0,7,0,0,10,0,0,20,0,0,2015-05-01,개별,"전기,장작판매,온수,물놀이장,산책로,운동장","계곡 물놀이,산책로",10,0,4,3,"여름물놀이,가을단풍명소,걷기길",,불가능
1606,연몽캠핑장,민간,경기도,연천군,경기 연천군 전곡읍 양원로 108-37,,,,8,0,6,3,0,0,6,4,0,6,4,0,3,5,0,2022-07-18,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설","계곡 물놀이,낚시",18,0,0,9,여름물놀이,,불가능
1607,용인반딧불캠핑장,민간,경기도,용인시,경기도 용인시 처인구 원삼면 보개원삼로1517번길 153 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-20,개별,"전기,장작판매,온수,산책로,마트_편의점",,0,0,0,0,,,불가능
1608,용인밤골캠핑장,민간,경기도,용인시,경기도 용인시 처인구 원삼면 죽양대로1650번길 2-23 ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-10-31,,,,0,0,0,0,,,불가능
